Dataset,k,Feature Weighting Method,Selection Method,Distance Metric,r (if Minkowski),Accuracy,Time (seconds)
balance_0,1,eq_weight,majority,minkowski,1,0.6451612903225806,0.16326212882995605
balance_0,1,eq_weight,majority,minkowski,2,0.6451612903225806,0.16171574592590332
balance_0,1,eq_weight,majority,hamming,,0.6451612903225806,0.08315753936767578
balance_0,1,eq_weight,idw,minkowski,1,0.6451612903225806,0.1621837615966797
balance_0,1,eq_weight,idw,minkowski,2,0.6451612903225806,0.1638805866241455
balance_0,1,eq_weight,idw,hamming,,0.6451612903225806,0.08480405807495117
balance_0,1,eq_weight,sheppard,minkowski,1,0.6451612903225806,0.1637892723083496
balance_0,1,eq_weight,sheppard,minkowski,2,0.6451612903225806,0.16098451614379883
balance_0,1,eq_weight,sheppard,hamming,,0.6451612903225806,0.08363509178161621
balance_0,1,information_gain,majority,minkowski,1,0.4838709677419355,0.20483136177062988
balance_0,1,information_gain,majority,minkowski,2,0.4838709677419355,0.20331883430480957
balance_0,1,information_gain,majority,hamming,,0.6935483870967742,0.12124371528625488
balance_0,1,information_gain,idw,minkowski,1,0.4838709677419355,0.20714402198791504
balance_0,1,information_gain,idw,minkowski,2,0.4838709677419355,0.20499324798583984
balance_0,1,information_gain,idw,hamming,,0.6774193548387096,0.12073373794555664
balance_0,1,information_gain,sheppard,minkowski,1,0.4838709677419355,0.2119133472442627
balance_0,1,information_gain,sheppard,minkowski,2,0.4838709677419355,0.20351195335388184
balance_0,1,information_gain,sheppard,hamming,,0.7096774193548387,0.12263679504394531
balance_0,1,chi2,majority,minkowski,1,0.8064516129032258,0.1686723232269287
balance_0,1,chi2,majority,minkowski,2,0.8064516129032258,0.16811418533325195
balance_0,1,chi2,majority,hamming,,0.6451612903225806,0.08441376686096191
balance_0,1,chi2,idw,minkowski,1,0.8064516129032258,0.16839814186096191
balance_0,1,chi2,idw,minkowski,2,0.8064516129032258,0.16887426376342773
balance_0,1,chi2,idw,hamming,,0.6451612903225806,0.0863957405090332
balance_0,1,chi2,sheppard,minkowski,1,0.8064516129032258,0.16522002220153809
balance_0,1,chi2,sheppard,minkowski,2,0.8064516129032258,0.16925859451293945
balance_0,1,chi2,sheppard,hamming,,0.6451612903225806,0.08548736572265625
balance_0,3,eq_weight,majority,minkowski,1,0.6774193548387096,0.16645193099975586
balance_0,3,eq_weight,majority,minkowski,2,0.6451612903225806,0.16832399368286133
balance_0,3,eq_weight,majority,hamming,,0.6774193548387096,0.08440637588500977
balance_0,3,eq_weight,idw,minkowski,1,0.6774193548387096,0.1640644073486328
balance_0,3,eq_weight,idw,minkowski,2,0.6451612903225806,0.16822600364685059
balance_0,3,eq_weight,idw,hamming,,0.6774193548387096,0.08373880386352539
balance_0,3,eq_weight,sheppard,minkowski,1,0.6774193548387096,0.16473603248596191
balance_0,3,eq_weight,sheppard,minkowski,2,0.6451612903225806,0.1654980182647705
balance_0,3,eq_weight,sheppard,hamming,,0.6774193548387096,0.08750128746032715
balance_0,3,information_gain,majority,minkowski,1,0.45161290322580644,0.20432758331298828
balance_0,3,information_gain,majority,minkowski,2,0.45161290322580644,0.20395708084106445
balance_0,3,information_gain,majority,hamming,,0.7258064516129032,0.1179189682006836
balance_0,3,information_gain,idw,minkowski,1,0.5161290322580645,0.20528435707092285
balance_0,3,information_gain,idw,minkowski,2,0.46774193548387094,0.2043154239654541
balance_0,3,information_gain,idw,hamming,,0.7096774193548387,0.11988139152526855
balance_0,3,information_gain,sheppard,minkowski,1,0.45161290322580644,0.20518040657043457
balance_0,3,information_gain,sheppard,minkowski,2,0.45161290322580644,0.20737314224243164
balance_0,3,information_gain,sheppard,hamming,,0.6935483870967742,0.12025594711303711
balance_0,3,chi2,majority,minkowski,1,0.7903225806451613,0.1689162254333496
balance_0,3,chi2,majority,minkowski,2,0.7903225806451613,0.16600632667541504
