Dataset;Instance Reduction Method;k;Feature Weighting Method;Selection Method;Distance Metric;r (if Minkowski);Accuracy;Time (seconds);Storage percentage
balance_0;drop3;7;eq_weight;majority;hamming;;0.5483870967741935;0.007069587707519531;4.9733570159857905
balance_1;drop3;7;eq_weight;majority;hamming;;0.45161290322580644;0.003711223602294922;6.039076376554174
balance_2;drop3;7;eq_weight;majority;hamming;;0.4444444444444444;0.004541873931884766;5.338078291814947
balance_3;drop3;7;eq_weight;majority;hamming;;0.5384615384615384;0.005508899688720703;5.178571428571429
balance_4;drop3;7;eq_weight;majority;hamming;;0.49206349206349204;0.004015445709228516;3.202846975088968
balance_5;drop3;7;eq_weight;majority;hamming;;0.578125;0.0030176639556884766;4.634581105169341
balance_6;drop3;7;eq_weight;majority;hamming;;0.45901639344262296;0.003000020980834961;3.0141843971631204
balance_7;drop3;7;eq_weight;majority;hamming;;0.6065573770491803;0.0037224292755126953;5.141843971631205
balance_8;drop3;7;eq_weight;majority;hamming;;0.4444444444444444;0.0036177635192871094;4.6263345195729535
balance_9;drop3;7;eq_weight;majority;hamming;;0.639344262295082;0.0058629512786865234;4.078014184397164
sick_0;drop3;7;eq_weight;sheppard;hamming;;0.6818181818181818;0.07427024841308594;2.7742749054224465
sick_1;drop3;7;eq_weight;sheppard;hamming;;0.6230769230769231;0.06907057762145996;2.6856903063365505
sick_2;drop3;7;eq_weight;sheppard;hamming;;0.8333333333333334;0.09535455703735352;2.2813688212927756
sick_3;drop3;7;eq_weight;sheppard;hamming;;0.7827715355805244;0.0715336799621582;2.6936026936026933
sick_4;drop3;7;eq_weight;sheppard;hamming;;0.7916666666666666;0.05999493598937988;2.3539302227826817
sick_5;drop3;7;eq_weight;sheppard;hamming;;0.7894736842105263;0.07183456420898438;2.482120319730753
sick_6;drop3;7;eq_weight;sheppard;hamming;;0.8515625;0.08484983444213867;2.7649769585253456
sick_7;drop3;7;eq_weight;sheppard;hamming;;0.6731517509727627;0.0725102424621582;2.682313495389774
sick_8;drop3;7;eq_weight;sheppard;hamming;;0.8202247191011236;0.1139373779296875;2.398989898989899
sick_9;drop3;7;eq_weight;sheppard;hamming;;0.8909774436090225;0.0575101375579834;2.3559108119478336
