Dataset;Instance Reduction Method;k;Feature Weighting Method;Selection Method;Distance Metric;r (if Minkowski);Accuracy;Time (seconds);Storage percentage
balance_0;gcnn;7;eq_weight;majority;hamming;;0.8225806451612904;0.0780649185180664;87.38898756660745
balance_1;gcnn;7;eq_weight;majority;hamming;;0.7096774193548387;0.08347415924072266;87.2113676731794
balance_2;gcnn;7;eq_weight;majority;hamming;;0.7936507936507936;0.07837748527526855;86.83274021352312
balance_3;gcnn;7;eq_weight;majority;hamming;;0.7692307692307693;0.09043288230895996;88.21428571428571
balance_4;gcnn;7;eq_weight;majority;hamming;;0.7777777777777778;0.08686614036560059;87.54448398576513
balance_5;gcnn;7;eq_weight;majority;hamming;;0.78125;0.0808255672454834;87.34402852049911
balance_6;gcnn;7;eq_weight;majority;hamming;;0.7377049180327869;0.0827631950378418;86.87943262411348
balance_7;gcnn;7;eq_weight;majority;hamming;;0.7704918032786885;0.08015680313110352;86.17021276595744
balance_8;gcnn;7;eq_weight;majority;hamming;;0.7619047619047619;0.0915529727935791;88.61209964412812
balance_9;gcnn;7;eq_weight;majority;hamming;;0.7704918032786885;0.10352683067321777;87.58865248226951
sick_0;gcnn;7;eq_weight;sheppard;hamming;;0.571969696969697;0.03259992599487305;0.9667927700714587
sick_1;gcnn;7;eq_weight;sheppard;hamming;;0.9153846153846154;0.04212331771850586;1.384809064204784
sick_2;gcnn;7;eq_weight;sheppard;hamming;;0.6304347826086957;0.054024457931518555;1.7743979721166032
sick_3;gcnn;7;eq_weight;sheppard;hamming;;0.850187265917603;0.03891468048095703;1.2205387205387206
sick_4;gcnn;7;eq_weight;sheppard;hamming;;0.8371212121212122;0.043913841247558594;1.4712063892391762
sick_5;gcnn;7;eq_weight;sheppard;hamming;;0.41729323308270677;0.03867673873901367;1.430374421539756
sick_6;gcnn;7;eq_weight;sheppard;hamming;;0.3984375;0.0579986572265625;2.4717218265605365
sick_7;gcnn;7;eq_weight;sheppard;hamming;;0.8910505836575876;0.03399991989135742;1.2154233025984913
sick_8;gcnn;7;eq_weight;sheppard;hamming;;0.36329588014981273;0.06251335144042969;2.5673400673400675
sick_9;gcnn;7;eq_weight;sheppard;hamming;;0.7556390977443609;0.05971813201904297;2.1455616323096343
