Dataset,Accuracy,Time (seconds),kernel,C,class_weight,shrinking,gamma
balance_0,0.45161290322580644,0.023998498916625977,linear,0.001,,True,
balance_0,0.45161290322580644,0.015996217727661133,linear,0.001,,False,
balance_0,0.4838709677419355,0.02400350570678711,linear,0.001,balanced,True,
balance_0,0.4838709677419355,0.02400040626525879,linear,0.001,balanced,False,
balance_0,0.9193548387096774,0.024267911911010742,linear,0.01,,True,
balance_0,0.9193548387096774,0.018217086791992188,linear,0.01,,False,
balance_0,0.4838709677419355,0.02421855926513672,linear,0.01,balanced,True,
balance_0,0.4838709677419355,0.024003982543945312,linear,0.01,balanced,False,
balance_0,0.9354838709677419,0.016000032424926758,linear,0.1,,True,
balance_0,0.9354838709677419,0.016000032424926758,linear,0.1,,False,
balance_0,0.6290322580645161,0.016000032424926758,linear,0.1,balanced,True,
balance_0,0.6290322580645161,0.024147510528564453,linear,0.1,balanced,False,
balance_0,0.8870967741935484,0.016015291213989258,linear,1.0,,True,
balance_0,0.8870967741935484,0.01599860191345215,linear,1.0,,False,
balance_0,0.9032258064516129,0.015978574752807617,linear,1.0,balanced,True,
balance_0,0.9032258064516129,0.016005992889404297,linear,1.0,balanced,False,
balance_0,0.9838709677419355,0.015994787216186523,linear,10.0,,True,
balance_0,0.9838709677419355,0.024008512496948242,linear,10.0,,False,
balance_0,0.967741935483871,0.016166210174560547,linear,10.0,balanced,True,
balance_0,0.967741935483871,0.008003711700439453,linear,10.0,balanced,False,
balance_0,0.9516129032258065,0.023999929428100586,linear,100.0,,True,
balance_0,0.9516129032258065,0.024282455444335938,linear,100.0,,False,
balance_0,0.9516129032258065,0.01615428924560547,linear,100.0,balanced,True,
balance_0,0.9516129032258065,0.02436232566833496,linear,100.0,balanced,False,
balance_0,0.45161290322580644,0.03219485282897949,rbf,0.001,,True,scale
balance_0,0.45161290322580644,0.03197932243347168,rbf,0.001,,False,scale
balance_0,0.4838709677419355,0.04039454460144043,rbf,0.001,balanced,True,scale
balance_0,0.4838709677419355,0.03998446464538574,rbf,0.001,balanced,False,scale
balance_0,0.45161290322580644,0.03199291229248047,rbf,0.001,,True,auto
balance_0,0.45161290322580644,0.0402369499206543,rbf,0.001,,False,auto
balance_0,0.4838709677419355,0.040003299713134766,rbf,0.001,balanced,True,auto
balance_0,0.4838709677419355,0.03200030326843262,rbf,0.001,balanced,False,auto
balance_0,0.45161290322580644,0.024001121520996094,rbf,0.001,,True,0.001
balance_0,0.45161290322580644,0.03202176094055176,rbf,0.001,,False,0.001
balance_0,0.4838709677419355,0.04025888442993164,rbf,0.001,balanced,True,0.001
balance_0,0.4838709677419355,0.04001498222351074,rbf,0.001,balanced,False,0.001
balance_0,0.45161290322580644,0.03199958801269531,rbf,0.001,,True,0.01
balance_0,0.45161290322580644,0.02695298194885254,rbf,0.001,,False,0.01
balance_0,0.4838709677419355,0.04768848419189453,rbf,0.001,balanced,True,0.01
balance_0,0.4838709677419355,0.0401921272277832,rbf,0.001,balanced,False,0.01
balance_0,0.45161290322580644,0.032335519790649414,rbf,0.001,,True,0.1
balance_0,0.45161290322580644,0.024227142333984375,rbf,0.001,,False,0.1
balance_0,0.4838709677419355,0.0400080680847168,rbf,0.001,balanced,True,0.1
balance_0,0.4838709677419355,0.0399935245513916,rbf,0.001,balanced,False,0.1
balance_0,0.45161290322580644,0.03202080726623535,rbf,0.001,,True,1
balance_0,0.45161290322580644,0.023999929428100586,rbf,0.001,,False,1
balance_0,0.4838709677419355,0.04104328155517578,rbf,0.001,balanced,True,1
