Dataset,Instance Reduction Method,kernel,C,class_weight,shrinking,Accuracy,Time (seconds),Storage percentage,gamma
balance_0,drop3,linear,10.0,balanced,True,0.967741935483871,0.012999534606933594,100.0,
balance_1,drop3,linear,10.0,balanced,True,0.9193548387096774,0.011998891830444336,100.0,
balance_2,drop3,linear,10.0,balanced,True,0.9682539682539683,0.01400136947631836,100.0,
balance_3,drop3,linear,10.0,balanced,True,0.9692307692307692,0.012000083923339844,100.0,
balance_4,drop3,linear,10.0,balanced,True,0.9523809523809523,0.012001276016235352,100.0,
balance_5,drop3,linear,10.0,balanced,True,0.9375,0.006996870040893555,100.0,
balance_6,drop3,linear,10.0,balanced,True,0.9508196721311475,0.007999181747436523,100.0,
balance_7,drop3,linear,10.0,balanced,True,1.0,0.005999565124511719,100.0,
balance_8,drop3,linear,10.0,balanced,True,0.9523809523809523,0.007999658584594727,100.0,
balance_9,drop3,linear,10.0,balanced,True,0.9672131147540983,0.007000923156738281,100.0,
sick_0,drop3,rbf,100.0,balanced,True,0.9507575757575758,0.08267927169799805,100.0,1.0
sick_1,drop3,rbf,100.0,balanced,True,0.9384615384615385,0.06448006629943848,100.0,1.0
sick_2,drop3,rbf,100.0,balanced,True,0.9239130434782609,0.0784461498260498,100.0,1.0
sick_3,drop3,rbf,100.0,balanced,True,0.9176029962546817,0.06813836097717285,100.0,1.0
sick_4,drop3,rbf,100.0,balanced,True,0.9431818181818182,0.08090519905090332,100.0,1.0
sick_5,drop3,rbf,100.0,balanced,True,0.9285714285714286,0.07000970840454102,100.0,1.0
sick_6,drop3,rbf,100.0,balanced,True,0.91796875,0.057996273040771484,100.0,1.0
sick_7,drop3,rbf,100.0,balanced,True,0.9455252918287937,0.0825350284576416,100.0,1.0
sick_8,drop3,rbf,100.0,balanced,True,0.9438202247191011,0.061521053314208984,100.0,1.0
sick_9,drop3,rbf,100.0,balanced,True,0.9548872180451128,0.06362104415893555,100.0,1.0
