Dataset,Instance Reduction Method,kernel,C,class_weight,shrinking,Accuracy,Time (seconds),Storage percentage,gamma
balance_0,ennth,linear,10.0,balanced,True,0.8870967741935484,0.0030035972595214844,35.879218472468914,
balance_1,ennth,linear,10.0,balanced,True,0.8870967741935484,0.0030012130737304688,35.168738898756665,
balance_2,ennth,linear,10.0,balanced,True,0.873015873015873,0.002999544143676758,36.654804270462634,
balance_3,ennth,linear,10.0,balanced,True,0.8307692307692308,0.003094911575317383,34.82142857142857,
balance_4,ennth,linear,10.0,balanced,True,0.9365079365079365,0.003000974655151367,34.87544483985765,
balance_5,ennth,linear,10.0,balanced,True,0.875,0.0030012130737304688,35.115864527629235,
balance_6,ennth,linear,10.0,balanced,True,0.8688524590163934,0.0020008087158203125,35.46099290780142,
balance_7,ennth,linear,10.0,balanced,True,0.9016393442622951,0.0019998550415039062,35.28368794326241,
balance_8,ennth,linear,10.0,balanced,True,0.9047619047619048,0.002000570297241211,32.74021352313167,
balance_9,ennth,linear,10.0,balanced,True,0.8688524590163934,0.0029997825622558594,34.04255319148936,
sick_0,ennth,rbf,100.0,balanced,True,0.9393939393939394,0.012000322341918945,89.19714165615805,1.0
sick_1,ennth,rbf,100.0,balanced,True,0.9307692307692308,0.010375499725341797,90.13848090642048,1.0
sick_2,ennth,rbf,100.0,balanced,True,0.9420289855072463,0.009001493453979492,89.18462188424165,1.0
sick_3,ennth,rbf,100.0,balanced,True,0.9438202247191011,0.008000850677490234,89.85690235690235,1.0
sick_4,ennth,rbf,100.0,balanced,True,0.9507575757575758,0.00899958610534668,89.8276586801177,1.0
sick_5,ennth,rbf,100.0,balanced,True,0.9323308270676691,0.01000213623046875,89.73496003365587,1.0
sick_6,ennth,rbf,100.0,balanced,True,0.94921875,0.011998414993286133,89.6103896103896,1.0
sick_7,ennth,rbf,100.0,balanced,True,0.9571984435797666,0.008002281188964844,89.35456831517183,1.0
sick_8,ennth,rbf,100.0,balanced,True,0.9625468164794008,0.010999202728271484,89.26767676767676,1.0
sick_9,ennth,rbf,100.0,balanced,True,0.943609022556391,0.007000446319580078,88.09423643247791,1.0
