Dataset,Instance Reduction Method,kernel,C,class_weight,shrinking,Accuracy,Time (seconds),Storage percentage,gamma
balance_0,gcnn,linear,10.0,balanced,True,0.9838709677419355,0.00700068473815918,87.38898756660745,
balance_1,gcnn,linear,10.0,balanced,True,0.9193548387096774,0.008002996444702148,88.27708703374778,
balance_2,gcnn,linear,10.0,balanced,True,0.9682539682539683,0.0069997310638427734,87.01067615658363,
balance_3,gcnn,linear,10.0,balanced,True,0.9692307692307692,0.006998538970947266,88.75,
balance_4,gcnn,linear,10.0,balanced,True,0.9682539682539683,0.005997180938720703,87.54448398576513,
balance_5,gcnn,linear,10.0,balanced,True,0.9375,0.005999088287353516,88.23529411764706,
balance_6,gcnn,linear,10.0,balanced,True,0.9508196721311475,0.007997989654541016,87.94326241134752,
balance_7,gcnn,linear,10.0,balanced,True,1.0,0.005003929138183594,87.05673758865248,
balance_8,gcnn,linear,10.0,balanced,True,0.9523809523809523,0.0059986114501953125,87.72241992882563,
balance_9,gcnn,linear,10.0,balanced,True,0.9672131147540983,0.005990028381347656,87.58865248226951,
sick_0,gcnn,rbf,100.0,balanced,True,0.7348484848484849,0.0030014514923095703,0.9667927700714587,1.0
sick_1,gcnn,rbf,100.0,balanced,True,0.9384615384615385,0.006001710891723633,1.384809064204784,1.0
sick_2,gcnn,rbf,100.0,balanced,True,0.6304347826086957,0.003000974655151367,1.7743979721166032,1.0
sick_3,gcnn,rbf,100.0,balanced,True,0.7640449438202247,0.002000093460083008,1.2205387205387206,1.0
sick_4,gcnn,rbf,100.0,balanced,True,0.8257575757575758,0.00400233268737793,1.4712063892391762,1.0
sick_5,gcnn,rbf,100.0,balanced,True,0.5526315789473685,0.0030014514923095703,1.430374421539756,1.0
sick_6,gcnn,rbf,100.0,balanced,True,0.52734375,0.003000020980834961,2.4717218265605365,1.0
sick_7,gcnn,rbf,100.0,balanced,True,0.8793774319066148,0.0019996166229248047,1.2154233025984913,1.0
sick_8,gcnn,rbf,100.0,balanced,True,0.4794007490636704,0.0040018558502197266,2.5673400673400675,1.0
sick_9,gcnn,rbf,100.0,balanced,True,0.44360902255639095,0.004001617431640625,2.1455616323096343,1.0
