k,m,xi,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Time (s),Iterations
2,1.5,0.3,0.1927791498875849,1.1871274327190249,0.3469911957060175,0.8958945274353027,15
2,1.5,0.5,0.1930204620823288,1.185771815652921,0.3469896045290802,1.2141618728637695,21
2,1.5,0.7,0.1934607272376295,1.1854870879982398,0.3470219692467528,0.9439747333526612,17
2,2.5,0.3,0.1948061225240084,1.182267903480121,0.3468601193128592,1.170313596725464,20
2,2.5,0.5,0.1950532521850007,1.1811132936894966,0.3469822789663804,0.8955976963043213,16
2,2.5,0.7,0.195457904702441,1.1801073792525072,0.3470090921668162,1.0709688663482666,17
3,1.5,0.3,0.293621494510155,0.8118163720158833,0.4373241913867239,0.9865341186523438,16
3,1.5,0.5,0.293621494510155,0.8118163720158833,0.4373241913867239,1.1447625160217283,18
3,1.5,0.7,0.293621494510155,0.8118163720158833,0.4373241913867239,1.202826738357544,19
3,2.5,0.3,0.2930908781252594,0.811523838058343,0.4373205831216504,0.967266082763672,15
3,2.5,0.5,0.2930711625946011,0.8113076721777928,0.4373235555094518,0.9356520175933838,15
3,2.5,0.7,0.2928179420721795,0.81123125880865,0.4373121102804349,1.1147499084472656,17
4,1.5,0.3,0.4591687248955322,0.9652148875216428,0.3954065609970235,1.3985545635223389,21
4,1.5,0.5,0.3464944246413959,1.138300860759656,0.3223894885539384,1.9387526512146,32
4,1.5,0.7,0.3463663242602731,1.1374657404242268,0.3225186225388456,1.8538031578063965,33
4,2.5,0.3,0.347718942024922,1.1332425078807988,0.3234791316184202,1.7685542106628418,29
4,2.5,0.5,0.3468719672399445,1.1307563505486915,0.3233454573180618,1.805903673171997,30
4,2.5,0.7,0.3467400288586185,1.128823689256521,0.3235570003837533,2.6088287830352783,44
5,1.5,0.3,0.4614847489500686,1.1005874653195875,0.3313577317453224,2.7886171340942383,47
5,1.5,0.5,0.4613341760616509,1.099897627806337,0.3313837834044222,3.0163369178771973,52
5,1.5,0.7,0.4601646155595235,1.0977347329889784,0.3313217946790479,3.2937490940093994,55
5,2.5,0.3,0.4561502457215559,1.093310762154823,0.3303064848910419,3.952706098556519,68
5,2.5,0.5,0.4539189853294433,1.0848875863486604,0.3307146943831625,2.543339967727661,41
5,2.5,0.7,0.4532199212003507,1.0838823599716676,0.3298548644769106,5.3185319900512695,93
6,1.5,0.3,0.5296555411107088,1.0231947941638226,0.352264860589181,1.403688669204712,23
6,1.5,0.5,0.5295229578586402,1.023302962466709,0.3522589713058532,1.2244105339050293,20
6,1.5,0.7,0.529838119944802,1.0233221619145365,0.3522542016626319,1.345996379852295,23
6,2.5,0.3,0.529215768802509,1.0242332618510843,0.3519391115092636,1.428370475769043,23
6,2.5,0.5,0.5278263632631289,1.0240651444263096,0.3518392453642858,1.447317600250244,22
6,2.5,0.7,0.5277137163074858,1.0240571290377154,0.3516752090662264,1.571012258529663,27
7,1.5,0.3,0.5652307687050184,1.07042947175683,0.3321963323867254,1.874833106994629,29
7,1.5,0.5,0.4595707283297494,1.099522193504654,0.3003360059176909,3.070555686950684,49
7,1.5,0.7,0.4592754841078332,1.099819172733335,0.3002230779306854,2.437086820602417,38
7,2.5,0.3,0.5639305993309148,1.0688016230430286,0.3328117350420017,1.3111796379089355,21
7,2.5,0.5,0.4547434500400977,1.1066086867546407,0.2997955379009037,3.599215507507324,59
7,2.5,0.7,0.4520625344468176,1.1079066265283088,0.2994838035570085,2.913931131362915,48
8,1.5,0.3,0.4356622568178482,1.1453187146229027,0.2979023096112435,2.8061602115631104,41
8,1.5,0.5,0.4319648752384248,1.147341184474682,0.2980929966078817,2.379574775695801,37
8,1.5,0.7,0.4318414268204252,1.146817914462067,0.2981128742954324,2.015859603881836,32
8,2.5,0.3,0.5335654091289335,1.184978549979835,0.3200335222327008,1.982449531555176,30
8,2.5,0.5,0.53403146484432,1.1716007879198842,0.3216211802052627,2.162491798400879,35
8,2.5,0.7,0.5339006395598677,1.1700211272815642,0.3217647975647031,2.4784200191497803,39
9,1.5,0.3,0.4166814729593845,1.223889121026791,0.2806153584883257,4.208508491516113,62
9,1.5,0.5,0.4172125542160196,1.2183713315423406,0.2803456378441251,3.8295161724090576,53
9,1.5,0.7,0.4171748482740784,1.2183541380422396,0.2803308401954276,3.705838680267334,55
9,2.5,0.3,0.4609659231365078,1.19862182760908,0.2907157166108748,1.607475996017456,25
9,2.5,0.5,0.4607898159787528,1.194474674880083,0.2901286583286485,2.058665037155152,32
9,2.5,0.7,0.4609191659775439,1.1937652597063884,0.2898117010173314,3.063138246536255,48
10,1.5,0.3,0.4547584119787037,1.272316852011158,0.2738270515656724,4.50916051864624,70
10,1.5,0.5,0.4543507319304457,1.2703944160631813,0.2734586379186914,5.238659620285034,77
10,1.5,0.7,0.4515974820622028,1.2638802974058734,0.275179633402016,4.597930908203125,68
10,2.5,0.3,0.4449117310066149,1.2602830439771842,0.2732732343503196,3.373687744140625,51
10,2.5,0.5,0.4448925366203158,1.2579209190748724,0.2716425498202702,3.314972162246704,49
10,2.5,0.7,0.4449552429197266,1.2551380184058485,0.2710225031175427,4.056517601013184,59
11,1.5,0.3,0.41091928690867,1.4423728145513297,0.2476480239929083,4.356106996536255,64
11,1.5,0.5,0.455601997040597,1.2301693223472503,0.2767950192671643,3.6021957397460938,54
11,1.5,0.7,0.4544692456488318,1.2415580281112433,0.2765551755747583,4.085805416107178,60
11,2.5,0.3,0.4305166014974495,1.3906248994155102,0.2547769439369839,2.983433246612549,44
11,2.5,0.5,0.4280395416325906,1.388033380700321,0.2527616960561678,2.875380039215088,43
11,2.5,0.7,0.4080185508067336,1.3429431587223637,0.2406916650010959,4.2049720287323,62
12,1.5,0.3,0.3938835464892227,1.4689336016113186,0.2314486576703533,2.620046377182007,38
12,1.5,0.5,0.3921991858391651,1.4679610350288452,0.2310630300787975,3.7439258098602295,54
12,1.5,0.7,0.3917021164053448,1.4664584721697995,0.2305782701750125,3.538657665252685,52
12,2.5,0.3,0.4283901670924387,1.3458395412812096,0.2558906560120098,2.550450563430786,37
12,2.5,0.5,0.4258918284253095,1.3677114696744894,0.2567173400715273,3.312154054641724,48
12,2.5,0.7,0.4164781764765741,1.47071184908687,0.2496012495223131,3.687413692474365,53
13,1.5,0.3,0.4190447501438394,1.4159157074038236,0.2564097230451759,6.939988136291504,100
13,1.5,0.5,0.3926482490507523,1.420737376322101,0.2341988896891772,3.911808013916016,56
