k,m,xi,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Time (s),Iterations
2,1.5,0.3,0.1968636121585829,7.82371877521495,0.0158464397123632,1.850733995437622,64
2,1.5,0.5,0.1927859055023612,7.823185079476737,0.0158469782596396,1.6062219142913818,54
2,1.5,0.7,0.1904352995909611,7.822830893332391,0.0158189518819451,1.481198787689209,51
2,2.5,0.3,0.1934585121421723,7.823148033167966,0.0158611139272701,1.868267059326172,54
2,2.5,0.5,0.1934585121421723,7.823148033167966,0.0158611139272701,1.6457407474517822,52
2,2.5,0.7,0.1924461747794969,7.823070126800053,0.0158612000290887,1.4983699321746826,47
3,1.5,0.3,0.4278787858482437,6.955560624530616,0.0125475241066882,0.5049080848693848,16
3,1.5,0.5,0.4156076985894403,6.955180999401843,0.0126529451774995,0.516974687576294,16
3,1.5,0.7,0.4002725502054565,6.948277378794086,0.0127716086074505,0.5600786209106445,18
3,2.5,0.3,0.4686853026446522,6.94153147068247,0.012242987517756,0.5046377182006836,15
3,2.5,0.5,0.4583367205476214,6.942486292925491,0.0123376377229492,0.6741924285888672,21
3,2.5,0.7,0.4305980315088599,6.954458376889583,0.0125843919294274,0.5448944568634033,16
4,1.5,0.3,0.3553595634261873,6.893532950759536,0.0106597578065399,1.5093233585357666,44
4,1.5,0.5,0.3266610205025536,6.969989275886498,0.0108724152551962,1.6209900379180908,47
4,1.5,0.7,0.3058593402789749,7.0130141107746695,0.011128050934173,1.4916224479675293,43
4,2.5,0.3,0.3859159668668721,6.85252790883473,0.0103981326914785,1.3196017742156982,39
4,2.5,0.5,0.3570499201735291,6.889241592400293,0.010550792147944,0.8208475112915039,24
4,2.5,0.7,0.3923586987459777,7.047851090330353,0.0123153457425571,2.691399335861206,73
5,1.5,0.3,0.3541728587746311,7.154134672764411,0.0102764251872227,1.2620396614074707,33
5,1.5,0.5,0.3400455148966272,7.193244757844975,0.0104820786464971,1.584230661392212,45
5,1.5,0.7,0.3275880384015714,7.19644287445505,0.0107379277073623,2.4749112129211426,70
5,2.5,0.3,0.3708685245434279,7.146005209163374,0.0099337799316956,1.453294277191162,39
5,2.5,0.5,0.3664675001987787,7.156720766470061,0.0099906582940817,1.1241357326507568,29
5,2.5,0.7,0.3412338663374766,7.182829278736088,0.0104322647764081,1.0518159866333008,28
6,1.5,0.3,0.2895129730119458,7.288856033121981,0.0093952924429106,3.8482449054718018,94
6,1.5,0.5,0.295138614789998,7.373397029553355,0.010394844093455,3.4327471256256104,90
6,1.5,0.7,0.3290979470973346,7.704369806311277,0.0103319401134988,3.1198692321777344,78
6,2.5,0.3,0.3701166862684011,7.510013086095673,0.0066308157874803,1.0947825908660889,27
6,2.5,0.5,0.3492110781238578,7.477719757480266,0.007437298625815,0.8307790756225586,21
6,2.5,0.7,0.3244249973147323,7.396857639255077,0.0085699486566472,1.0589449405670166,27
7,1.5,0.3,0.2587078837060413,7.507646899936681,0.0086095353338659,1.9461119174957275,47
7,1.5,0.5,0.2873918643518376,7.237741221676528,0.0092085947074403,3.5649938583374023,81
7,1.5,0.7,0.2837752412555652,7.500678789604914,0.0104202306194637,1.9224696159362795,44
7,2.5,0.3,0.2767239366341471,7.716069610601195,0.0098241053435334,1.128435134887695,25
7,2.5,0.5,0.27967621759894,7.742042108354816,0.0098480555980939,1.9055969715118408,43
7,2.5,0.7,0.272274839147794,7.741131855822724,0.0099634263534504,1.524735927581787,35
8,1.5,0.3,0.2336859842890913,7.744928878216309,0.0080968591494076,1.7900915145874023,36
8,1.5,0.5,0.2275876315099607,7.600819909429335,0.0092711377915118,1.3991026878356934,30
8,1.5,0.7,0.2710607577256919,7.321382833965011,0.0107900260157202,2.141519546508789,48
8,2.5,0.3,0.2380420399982594,7.721567526034833,0.0082962017384621,2.076577425003052,47
8,2.5,0.5,0.2422525119974807,7.809381617850132,0.0085243867881921,1.479100227355957,33
8,2.5,0.7,0.2388183967403338,7.884674734524059,0.0086579347844853,1.1056156158447266,25
9,1.5,0.3,0.2224443017506409,7.430131031167302,0.0085586110841952,2.0629611015319824,44
9,1.5,0.5,0.2283725562218396,7.182195722520894,0.0093810187258061,1.885176658630371,40
9,1.5,0.7,0.3111546931916262,7.039201610104809,0.008704482311928,1.2542831897735596,26
9,2.5,0.3,0.2130695596773573,7.462820089599849,0.0069965743292114,2.735402822494507,59
9,2.5,0.5,0.213200979052907,7.537578117502294,0.0072679967465055,2.6233482360839844,55
9,2.5,0.7,0.2171063322890921,7.498245718768341,0.0083076131412261,2.8218472003936768,58
10,1.5,0.3,0.2162657744076515,6.809906801958737,0.0080522943321701,2.451390027999878,48
10,1.5,0.5,0.2229131315673334,6.989602582515583,0.009282434214138,1.7816503047943115,35
10,1.5,0.7,0.2947723787060078,7.02052287087334,0.0084483825170639,1.616619110107422,31
10,2.5,0.3,0.2061731079476677,7.177825860595654,0.0075932087385626,1.7621006965637207,35
10,2.5,0.5,0.1968975420690605,7.288253778236235,0.0076836246091078,1.8150663375854488,36
10,2.5,0.7,0.203298667042914,7.242633334501257,0.0082932570230669,1.7692830562591553,35
11,1.5,0.3,0.1659328054863251,7.543421229795116,0.0065370586090324,1.7888357639312744,35
11,1.5,0.5,0.1679069895655785,7.416715164763006,0.0076983243026489,1.4746301174163818,28
11,1.5,0.7,0.2360520619098587,6.726890516013724,0.0052717782495911,1.71474289894104,33
11,2.5,0.3,0.1780397980286977,7.082167614793274,0.0059090196819793,2.5593421459198,49
11,2.5,0.5,0.1706052046611494,7.234661301281279,0.0064360042514307,2.364039182662964,46
11,2.5,0.7,0.1677775933208834,7.28277102398134,0.0070011800772522,1.8952629566192627,37
12,1.5,0.3,0.1758854700476274,7.250201486056585,0.0072740822350995,2.065950632095337,39
12,1.5,0.5,0.1845454967692966,7.180784310582851,0.0078923240473289,2.225468158721924,41
12,1.5,0.7,0.2267047386879488,6.506000634966687,0.0030093627967239,1.950211763381958,35
12,2.5,0.3,0.1803864550086739,7.149393083762234,0.0065216038455238,2.34778356552124,43
12,2.5,0.5,0.1732640373202879,7.136634627805058,0.0068780772492312,3.029288053512573,57
12,2.5,0.7,0.168393814481194,7.023438556723504,0.0076565422080033,2.650212287902832,49
13,1.5,0.3,0.1676260988947886,7.162257004444506,0.0078775213964115,2.3638761043548584,45
13,1.5,0.5,0.1572959120457687,7.1001889743390425,0.0079244981224088,2.922656774520874,55
13,1.5,0.7,0.2584299170147285,5.902917424895601,-0.0027691944965842,1.804669618606568,34
13,2.5,0.3,0.1767264599859608,6.756935838767644,0.001122532043862,2.182849645614624,42
13,2.5,0.5,0.1751905645777144,6.797495739476555,0.0011964501756816,2.986358880996704,55
13,2.5,0.7,0.163399529582231,7.194333364302589,0.0078565133915531,2.243772506713867,43
14,1.5,0.3,0.1436324457862692,6.909146750637101,0.0069729089941572,2.457826375961304,45
14,1.5,0.5,0.1483486442576955,6.999143441524216,0.0075231547155928,2.0757431983947754,39
14,1.5,0.7,0.2600503597432372,5.944236168255565,0.0001667842434718,2.4675307273864746,46
14,2.5,0.3,0.14572482917803,7.020301182529524,0.0063796699524008,2.3483433723449707,43
14,2.5,0.5,0.1341140701854538,7.04169127413966,0.006166243000551,2.1630160808563232,32
14,2.5,0.7,0.1301969055650803,7.006218179862645,0.0070077067295319,2.684487819671631,44
2,3.5,0.3,0.1955023348789217,7.823182144225317,0.015840859296224,5.439244270324707,47
2,3.5,0.5,0.1972109940058441,7.82311518632032,0.0158345388833503,4.831618309020996,43
2,3.5,0.7,0.1941411226321398,7.823014049040639,0.0158549899898099,5.081269979476929,43
3,3.5,0.3,0.4689237065351526,6.944310794044088,0.0122431752330839,1.5147733688354492,14
3,3.5,0.5,0.4685166500788315,6.94120461566326,0.0122557535680127,1.7554538249969482,15
3,3.5,0.7,0.4619509431803956,6.939801920723056,0.0122922156003954,1.5840904712677002,14
4,3.5,0.5,0.3787647257665272,6.848800226659916,0.010340189916087,4.145347595214844,32
4,3.5,0.7,0.3609984416491695,6.881062404683759,0.0105312094019183,3.603412628173828,29
4,3.5,0.3,0.4152853023371788,7.057851652399476,0.0119534354921891,13.168415784835815,100
5,3.5,0.3,0.380389008835723,7.140520417070329,0.0098511007098421,3.5983200073242188,27
5,3.5,0.7,0.3685908175254341,7.159996722803621,0.0100177711273542,3.421034097671509,28
5,3.5,0.5,0.3776383802551975,7.149591362943637,0.0098923645667724,4.538246393203735,35
6,3.5,0.3,0.3560211619335805,7.296248887834504,0.008450314791674,4.294167995452881,34
6,3.5,0.5,0.357029686265508,7.304789255038794,0.0083350151653083,5.129799127578735,40
6,3.5,0.7,0.3428268315227561,7.317986907638144,0.0086284363946347,6.15514063835144,46
7,3.5,0.3,0.2754948638444013,7.456565593178107,0.00992082755523,6.3522350788116455,49
7,3.5,0.5,0.277150718155655,7.552176875180028,0.0097400124391548,5.576479434967041,37
7,3.5,0.7,0.2649101409328427,7.547821886789363,0.0102257085329701,4.459235429763794,34
8,3.5,0.5,0.2499046651671331,7.734632582241054,0.0077988239757374,4.796629428863525,32
