k,m,xi,Adjusted Rand Index,Adjusted Rand Index Seed,Davies-Bouldin Index,Davies-Bouldin Index Seed,Silhouette Score,Silhouette Score Seed,Purity Score,Purity Score Seed,Time (s),Time (s) Seed,Iterations,Iterations Seed
2,2.5,0.3,0.270100007168326,3,7.822954635612968,4,0.016125954596423252,0,0.6493679308050565,3,2.266226053237915,2,17,3
2,1.5,0.7,0.1924514888863876,4,7.822722620488138,4,0.01597387469858678,3,0.5788423153692615,4,2.327913522720337,2,17,2
2,1.5,0.3,0.3605595561351584,2,7.802884585720879,2,0.016103274864779027,0,0.6942781104457751,2,3.30883526802063,4,32,1
2,1.5,0.5,0.19243979685950335,4,7.8224188565740045,3,0.016050353863381137,0,0.5785096473719228,4,3.6914660930633545,4,28,0
2,2.5,0.5,0.252007971599958,3,7.823007134363117,4,0.016132940528443444,0,0.6383898868928809,3,2.3330860137939453,2,17,2
2,2.5,0.7,0.19315760466113122,4,7.822566849489362,4,0.01611405059330979,0,0.5798403193612774,4,2.4012842178344727,0,21,2
2,3.5,0.3,0.202728036907801,4,7.823107717796774,1,0.0161251551965071,0,0.58416500332668,4,3.4883580207824707,0,28,0
2,3.5,0.5,0.19587208075525442,4,7.8220856518159065,2,0.016083037012878672,0,0.5811709913506321,4,3.0180160999298096,0,22,0
2,3.5,0.7,0.19827060567601287,4,7.822917497341916,4,0.016095750596636094,0,0.5825016633399867,4,2.9397647380828857,0,23,0
3,1.5,0.3,0.5134353484583993,2,6.919478230179423,2,0.012876232062513336,0,0.8147039254823686,2,1.9517080783843994,3,16,0
3,1.5,0.5,0.44520050226089886,2,6.9394446222238875,3,0.012927977491029733,3,0.783433133732535,2,2.173656463623047,0,26,4
3,1.5,0.7,0.4075619159600485,2,6.94035690760737,3,0.013101820639689116,3,0.7644710578842315,2,2.6332309246063232,0,21,0
3,2.5,0.3,0.5623265284830585,2,6.893772997775586,2,0.012889262856608253,0,0.8359946773120426,2,2.635146379470825,1,20,1
3,2.5,0.5,0.5324744916680654,2,6.906253700187107,2,0.012918074736933212,0,0.823020625415835,2,2.7843432426452637,4,22,1
3,2.5,0.7,0.4867751546144687,2,6.934984840172786,2,0.012877943699380976,3,0.8030605455755156,2,1.3231632709503174,3,19,4
3,3.5,0.3,0.5930412430288091,2,6.900255909843757,2,0.012816178125784231,4,0.8496340652029275,2,2.425140142440796,1,20,0
3,3.5,0.5,0.5838581396738589,2,6.896451046345178,2,0.012866759878136368,4,0.8456420492348636,2,1.991229772567749,0,15,0
3,3.5,0.7,0.5741908584581426,2,6.902224889433093,2,0.012900272088527714,4,0.8419827012641384,2,1.9904816150665283,2,16,0
4,1.5,0.3,0.4336420785626658,4,7.053558685720489,2,0.012640142864203495,4,0.8772455089820359,4,3.485175371170044,4,25,4
4,2.5,0.3,0.44791800011659616,2,6.7088336436873774,1,0.012683556379966796,2,0.8892215568862275,2,3.1006667613983154,3,22,3
