k,m,xi,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Purity Score,Time (s),Iterations, Error
2,2.5,0.3,0.024909507823017863,2.052118970554533,0.16146030939551118,0.14579124579124578,0.2328458627065023,20.333333333333332,
2,1.5,0.3,0.015189226184529982,1.9100927368791847,0.17969113308447984,0.13737373737373737,0.4055147171020508,33.666666666666664,
2,1.5,0.7,0.014899703677957956,1.8893013609318527,0.18122970869095714,0.13737373737373737,0.45544854799906415,35.333333333333336,
2,1.5,0.5,0.014899703677957956,1.8893013609318527,0.18122970869095714,0.13737373737373737,0.5850201447804769,43.666666666666664,
2,2.5,0.5,0.015041990526205272,1.8803931363432096,0.18216110661557353,0.13737373737373737,0.4066891670227051,35.0,
2,3.5,0.3,0.015041990526205272,1.8803931363432096,0.18216110661557353,0.13737373737373737,0.3619871934254964,29.333333333333332,
2,2.5,0.7,0.015052280105350237,1.8701028320912034,0.18291141064238461,0.13737373737373737,0.44925959904988605,37.666666666666664,
2,3.5,0.5,0.02046194956992224,2.0345046435962604,0.16387770567875268,0.1404040404040404,0.36962111790974933,30.666666666666668,
2,3.5,0.7,0.015245829498220375,1.8541629796107244,0.18331189498592515,0.13737373737373737,0.5032691955566406,38.333333333333336,
3,1.5,0.3,0.06169969768564479,2.0384180457811283,0.15365046088915524,0.17205387205387204,0.4119914372762044,30.666666666666668,
3,1.5,0.7,0.059507459328186234,2.03387666569126,0.15304498334118313,0.1723905723905724,0.359444538752238,29.666666666666668,
3,1.5,0.5,0.07259296045511386,2.056998428901695,0.15430395181861484,0.1787878787878788,0.4772638479868571,33.333333333333336,
3,2.5,0.3,0.07701143340981305,2.044064350666256,0.15510085872069887,0.18080808080808083,0.3514424165089925,20.0,
3,2.5,0.7,0.07856495973193793,2.024591287840376,0.15544210823457447,0.18282828282828287,0.3723692099253337,27.0,
3,2.5,0.5,0.05991276089064471,2.0284952076711735,0.15271833780309685,0.17744107744107743,0.5247381528218588,34.666666666666664,
3,3.5,0.3,0.04685094927600291,2.0052555911459176,0.15126770563551709,0.17205387205387204,0.471579631169637,31.0,
3,3.5,0.5,0.04781240817999236,1.9908572265487585,0.15152031365730903,0.17946127946127946,0.4168376922607422,27.333333333333332,
4,1.5,0.3,0.09209372615956041,1.8073132292300034,0.17157636338592105,0.197979797979798,0.35624893506368,25.666666666666668,
4,1.5,0.5,0.09319801191271589,1.8119660007450262,0.17109587710688615,0.20134680134680136,0.2955826123555501,21.0,
3,3.5,0.7,0.0636895327511971,1.996992106727906,0.153867500010314,0.1814814814814815,0.5565441449483236,43.0,
4,1.5,0.7,0.09285196675702623,1.8105778632480043,0.17105885980502286,0.20067340067340067,0.5368084112803141,36.333333333333336,
4,2.5,0.3,0.09406923476227307,1.8106392033621905,0.17107669285834537,0.20235690235690237,0.3944409688313802,28.666666666666668,
4,2.5,0.5,0.09603589234392064,1.8106917385828531,0.17087017642991045,0.20606060606060606,0.4421658515930176,30.333333333333332,
4,2.5,0.7,0.09557440628189755,1.8107110990824429,0.1707897021823833,0.20606060606060606,0.41263214747111004,29.0,
4,3.5,0.3,0.09606326448105858,1.81088228020474,0.17094844718586946,0.20639730639730638,0.400607426961263,29.666666666666668,
4,3.5,0.5,0.0957881460086562,1.8115571958511978,0.17087144053008219,0.20673400673400674,0.41744836171468097,25.333333333333332,
4,3.5,0.7,0.09552101188482114,1.8093863981130858,0.1707442753156213,0.20606060606060606,0.49764426549275714,36.666666666666664,
5,1.5,0.3,0.12044613062485558,1.9157516144745275,0.15003555352812248,0.24377104377104375,0.39177457491556805,29.333333333333332,
5,1.5,0.5,0.11323248250852225,1.9442597907410593,0.15065570179836021,0.23030303030303031,0.31543978055318195,22.0,
5,2.5,0.3,0.10509618376881728,1.8900902708723664,0.15301649449474955,0.21212121212121213,0.3163618246714274,21.333333333333332,
5,2.5,0.5,0.10882949728744766,1.8845235411209433,0.15441611406267106,0.21885521885521886,0.36439744631449383,29.333333333333332,
5,1.5,0.7,0.14621441788801384,1.9767577551756748,0.14850164045174527,0.260942760942761,0.5727074940999349,41.666666666666664,
5,2.5,0.7,0.1154803967694251,1.933785067610205,0.1509869702123596,0.24276094276094273,0.4836140473683675,31.666666666666668,
5,3.5,0.3,0.1343535469712064,1.9271055227938865,0.1533080456786214,0.2579124579124579,0.40206019083658856,28.333333333333332,
5,3.5,0.5,0.10813030338175834,1.9828166939264218,0.150318545981973,0.23198653198653196,0.408860445022583,28.0,
6,1.5,0.3,0.10970711729882161,1.8362128208079938,0.1473113892496731,0.24107744107744108,0.35106396675109863,26.666666666666668,
5,3.5,0.7,0.09227290849400836,1.8997556653244787,0.15433758823616492,0.21548821548821548,0.5741817156473795,37.666666666666664,
6,1.5,0.5,0.12932329002892637,1.9079052962857996,0.1495319939000133,0.2531986531986532,0.5614777406056722,39.333333333333336,
6,1.5,0.7,0.12438757795571286,1.9194850927548253,0.14536653312149303,0.24814814814814815,0.5483167171478271,39.0,
6,2.5,0.3,0.13540221447338696,1.9026109930936013,0.14717713839035787,0.2558922558922559,0.4602937698364258,30.0,
6,2.5,0.5,0.10434707115903653,1.8708095707787666,0.14936669244597475,0.23265993265993268,0.46327368418375653,32.0,
6,2.5,0.7,0.1415715008743,1.8876619109962436,0.14376205456140587,0.25521885521885523,0.5783184369405111,44.0,
6,3.5,0.3,0.12975454796613772,1.9155063023047652,0.14394919386063737,0.26161616161616164,0.5632879734039307,39.0,
6,3.5,0.5,0.1340821259615472,1.8793333375110477,0.14699221246323732,0.2562289562289562,0.5761381785074869,42.666666666666664,
7,1.5,0.3,0.13173146396989546,1.8756614443962067,0.14832857037381733,0.27205387205387205,0.31045007705688477,24.333333333333332,
7,1.5,0.5,0.1273182553218903,1.844278284107659,0.1490111655331879,0.2612794612794613,0.4851141770680745,38.333333333333336,
6,3.5,0.7,0.13514989083204854,1.8674386423973164,0.1438917596579237,0.2569023569023569,1.055696169535319,78.66666666666667,
7,1.5,0.7,0.13547357192343723,1.8307925891693688,0.14748877398206886,0.2764309764309764,0.6390536626180013,54.0,
7,2.5,0.3,0.1340399060853709,1.8957294609798456,0.1462670198708236,0.25993265993265996,0.43156997362772626,31.333333333333332,
7,2.5,0.5,0.14253071784937413,1.858724647982821,0.1477505664334446,0.27340067340067337,0.4734776020050049,34.333333333333336,
7,3.5,0.3,0.12985443656712634,1.849372427047342,0.15100788186083747,0.26565656565656565,0.3805854320526123,27.666666666666668,
7,2.5,0.7,0.1359170389563101,1.835661421545895,0.14770529635188348,0.2663299663299663,0.621110200881958,46.666666666666664,
7,3.5,0.5,0.14017236749632792,1.862685504301636,0.14927477022382568,0.26296296296296295,0.4926923910776774,35.0,
8,1.5,0.3,0.1407680049960432,1.8406973983126307,0.14865641875627045,0.2824915824915825,0.3954404989878337,25.0,
8,1.5,0.5,0.13886178196275503,1.853001670889132,0.14652364463495685,0.28080808080808084,0.4621595541636149,32.333333333333336,
8,1.5,0.7,0.14163156410667832,1.8561911460487321,0.15239850140727737,0.28518518518518515,0.4886627991994222,36.0,
7,3.5,0.7,0.1351943037482495,1.8153221349402895,0.14826479651271282,0.2632996632996633,0.9442569414774576,66.0,
8,2.5,0.3,0.13909541452183227,1.862899436487328,0.14161337033147936,0.27643097643097647,0.4450111389160156,30.666666666666668,
8,2.5,0.5,0.1381689375496758,1.8114622271438645,0.15123612806151612,0.27138047138047144,0.6143318017323812,41.0,
8,3.5,0.3,0.14517954009079528,1.8153897176563305,0.1447227233092528,0.2750841750841751,0.3655478159586589,27.333333333333332,
8,2.5,0.7,0.15228757766619855,1.7883927828890052,0.152017323962041,0.2791245791245791,0.8556068738301595,63.0,
9,1.5,0.3,0.14158164645560942,1.8463284506556477,0.14969559554392797,0.298989898989899,0.454803466796875,34.333333333333336,
8,3.5,0.5,0.14123069773515287,1.8395021549270947,0.14465497543103933,0.28585858585858587,0.8164437611897787,58.333333333333336,
8,3.5,0.7,0.1396013897042814,1.7896668803791875,0.14754260450501924,0.28585858585858587,0.7804709275563558,56.666666666666664,
9,1.5,0.5,0.1572171161486837,1.858115690646369,0.14981552348384986,0.302020202020202,0.5052781899770101,41.333333333333336,
9,2.5,0.3,0.1393385210125469,1.7933035366502459,0.1516643780236466,0.28484848484848485,0.5371315479278564,38.666666666666664,
9,1.5,0.7,0.14687805785797778,1.8150821590964734,0.15560772978306522,0.2919191919191919,0.6910841464996338,48.666666666666664,
9,2.5,0.5,0.14868534928366817,1.82793198801084,0.15171861231151954,0.29696969696969694,0.8885696729024252,59.0,
9,2.5,0.7,0.14619527190064527,1.789858366196352,0.14796666955329682,0.2946127946127946,0.8612714608510336,62.333333333333336,
9,3.5,0.3,0.14086357180837075,1.8278818094740348,0.1529585434613954,0.2993265993265993,0.6021983623504639,38.333333333333336,
9,3.5,0.5,0.1389802209604646,1.7727266985186887,0.15093692090720398,0.29225589225589227,0.739401658376058,48.333333333333336,
10,1.5,0.3,0.15851792038904267,1.803732458772399,0.15394489632593092,0.30370370370370375,-0.01701211929321289,33.333333333333336,
10,1.5,0.5,0.15712947461947635,1.763615724782973,0.1542074712852812,0.3134680134680135,0.1310877005259196,45.333333333333336,
10,1.5,0.7,0.1423437580522687,1.7520618117354452,0.14985900086204965,0.30134680134680136,0.07329146067301433,45.0,
10,2.5,0.3,0.14997036795576849,1.7355346469987587,0.15404485860044215,0.30033670033670035,0.41359472274780273,29.333333333333332,
9,3.5,0.7,0.1422848442444566,1.8032115018242616,0.1466390174179086,0.2885521885521885,0.717331329981486,94.0,
10,3.5,0.3,0.1478039212573101,1.7753441704829,0.1582668423067098,0.3084175084175084,0.535569429397583,39.0,
10,2.5,0.5,0.15182421694206186,1.8183348968940631,0.1505214082275673,0.30942760942760944,0.9453621705373129,71.33333333333333,
10,2.5,0.7,0.16656353744514474,1.8043737297946567,0.15318789499390165,0.3205387205387205,1.2867984771728516,82.0,
10,3.5,0.5,0.13976856259652415,1.7761790538864677,0.15594789038669232,0.29629629629629634,1.1323482990264893,64.33333333333333,
11,1.5,0.3,0.15806269088935074,1.8065199854443552,0.15334910428635576,0.32390572390572386,0.8514338334401449,31.333333333333332,
11,1.5,0.5,0.15085463584556433,1.7676458631374425,0.1576882893064041,0.3090909090909091,1.5926433404286702,40.0,
10,3.5,0.7,0.14616065230408146,1.7468552470953604,0.14989326883387982,0.30437710437710436,2.4387799898783364,83.0,
11,1.5,0.7,0.14600922257782975,1.7602340235264728,0.1578537780685587,0.30303030303030304,1.9843965371449788,41.666666666666664,
11,2.5,0.3,0.14823186016366108,1.8027199269731407,0.15143875269827808,0.31986531986531985,1.962214469909668,41.666666666666664,
11,3.5,0.3,0.14900083366518316,1.743847487785753,0.15697143045431283,0.31952861952861955,1.9162685076395671,36.333333333333336,
11,2.5,0.5,0.1585695254809177,1.7296718786725167,0.15664953976243912,0.32323232323232326,2.578819990158081,50.333333333333336,
11,3.5,0.5,0.15217765817914633,1.7308356263579021,0.15494384511340092,0.31245791245791243,2.7980679670969644,53.666666666666664,
12,1.5,0.3,0.15865010718655617,1.7988430158903137,0.15573172937304947,0.3367003367003367,1.5349520047505696,29.333333333333332,
11,2.5,0.7,0.14515773431951082,1.7624881545446651,0.15320524858745396,0.3151515151515152,4.530584176381429,89.66666666666667,
12,1.5,0.5,0.1483368142343349,1.7724285405753555,0.15859539081520818,0.32794612794612793,2.560404062271118,50.666666666666664,
11,3.5,0.7,0.15050611807703565,1.7256158282797962,0.15249664936139473,0.3111111111111111,3.722407023111979,76.66666666666667,
12,1.5,0.7,0.1501702212864272,1.7514516806614011,0.16168050114674862,0.32760942760942763,2.5247084299723306,52.0,
12,2.5,0.3,0.1513622651887714,1.7944874228547276,0.1543063031293797,0.33569023569023565,1.998226563135783,40.333333333333336,
12,3.5,0.3,0.1592225835653309,1.7561904219876825,0.16338936075523977,0.33905723905723906,1.4597896734873455,40.666666666666664,
12,2.5,0.5,0.14793553598639805,1.730528288925411,0.16109301795872188,0.3255892255892256,2.30963126818339,57.666666666666664,
12,3.5,0.5,0.13893997562020885,1.678023715575687,0.15561532497141675,0.3188552188552189,2.1759086449941,55.666666666666664,
12,2.5,0.7,0.16398254993820646,1.760857056594877,0.15444086842404445,0.3377104377104377,3.0554684003194175,74.33333333333333,
