k,m,xi,Adjusted Rand Index,Adjusted Rand Index Seed,Davies-Bouldin Index,Davies-Bouldin Index Seed,Silhouette Score,Silhouette Score Seed,Purity Score,Purity Score Seed,Time (s),Time (s) Seed,Iterations,Iterations Seed
2,2.5,0.3,0.08070956546127013,1,1.8893013609318527,0,0.18122970869095714,0,0.17575757575757575,1,0.23882150650024414,1,19,1
2,1.5,0.3,0.0809837157531245,1,1.8893013609318527,0,0.18122970869095714,0,0.17575757575757575,1,0.2974836826324463,4,24,1
2,1.5,0.7,0.014899703677957956,0,1.8893013609318527,0,0.18122970869095714,0,0.13737373737373737,0,0.38089823722839355,0,28,4
2,1.5,0.5,0.014899703677957956,0,1.8893013609318527,0,0.18122970869095714,0,0.13737373737373737,0,0.36863183975219727,4,27,4
2,2.5,0.5,0.030894189713325974,4,1.8803931363432098,0,0.18216110661557353,0,0.14646464646464646,4,0.41492438316345215,0,27,4
2,2.5,0.7,0.030894189713325974,4,1.8701028320912036,0,0.18291141064238461,0,0.14646464646464646,4,0.423905611038208,4,31,4
2,3.5,0.3,0.08070956546127013,1,1.8803931363432098,0,0.18216110661557353,0,0.17575757575757575,1,0.18036985397338867,1,13,1
2,3.5,0.5,0.030894189713325974,4,1.8541629796107242,0,0.18331189498592515,0,0.14646464646464646,4,0.29220056533813477,4,19,4
2,3.5,0.7,0.030251412342424566,4,1.8541629796107242,0,0.18331189498592515,0,0.14646464646464646,4,0.3598673343658447,2,21,4
3,1.5,0.3,0.07553621766308717,0,1.9826027383585452,2,0.1550540267938892,0,0.17777777777777778,0,-0.9620845317840576,4,17,4
3,1.5,0.5,0.0745447395516553,0,1.985001625010197,2,0.1546374030297368,0,0.17777777777777778,0,-0.6488118171691895,3,18,4
3,1.5,0.7,0.07447871432063616,0,1.991585693454308,2,0.15452972283338653,0,0.17777777777777778,0,-0.7567791938781738,2,21,4
3,2.5,0.3,0.07240421762540272,0,1.978090527428104,2,0.1543394155134214,0,0.1787878787878788,0,-0.6832084655761719,0,19,2
3,2.5,0.5,0.0729643503693765,0,1.9771023115732727,3,0.1545323062008361,0,0.1787878787878788,0,0.3283250331878662,2,23,2
3,3.5,0.3,0.0727514522471665,0,1.965129406406965,3,0.1544688799966698,0,0.1787878787878788,0,0.2086031436920166,4,15,4
3,2.5,0.7,0.0774511558987738,0,1.9811803084801374,2,0.155165957996362,0,0.18282828282828284,0,0.34798693656921387,2,24,4
3,3.5,0.5,0.07330666165404288,0,1.9624919014199975,3,0.15472946631674211,0,0.1787878787878788,0,0.36719226837158203,3,23,2
3,3.5,0.7,0.07875781108768791,0,1.960485818818693,3,0.15577752585880106,0,0.18282828282828284,0,0.28288888931274414,2,22,4
4,1.5,0.3,0.0955393142463223,3,1.8066732106590702,4,0.17160091463750002,4,0.20303030303030303,3,0.30346155166625977,0,18,2
4,1.5,0.5,0.09500012099300302,3,1.8083252611145881,1,0.17152726088276313,0,0.20303030303030303,3,0.3720884323120117,1,22,2
4,1.5,0.7,0.09223372374177649,3,1.8061671736831744,2,0.17153371055747177,0,0.19797979797979798,0,0.2669692039489746,0,20,2
4,2.5,0.3,0.09619117997103294,4,1.8069431686863704,3,0.17146772930216514,1,0.20606060606060606,4,0.25748181343078613,1,12,2
4,2.5,0.5,0.09633009624034913,0,1.8101815776296986,1,0.17097526949440203,0,0.20606060606060606,0,0.3001368045806885,4,19,2
4,2.5,0.7,0.0955703588558525,0,1.8102698219097597,0,0.17066644391736727,0,0.20606060606060606,0,0.3745393753051758,2,21,2
4,3.5,0.3,0.09680942521867081,2,1.8064832212534583,4,0.17156361047606136,4,0.20505050505050504,2,0.14256858825683594,2,11,2
4,3.5,0.5,0.09619769068582741,0,1.8100909948694495,1,0.17090884973086298,0,0.20606060606060606,0,0.2815816402435303,2,15,2
4,3.5,0.7,0.09611433755305376,2,1.8085811781900252,0,0.17086251488751455,0,0.20606060606060606,0,0.28124403953552246,2,17,2
5,1.5,0.3,0.14776400928490116,2,1.8451292511583854,1,0.1539525466898771,1,0.25555555555555554,0,0.4337296485900879,3,26,1
5,1.5,0.5,0.13535026721734503,2,1.8505639852860014,1,0.15391727728644483,1,0.2515151515151515,0,0.4596977233886719,1,24,4
5,1.5,0.7,0.1336957637172802,2,1.853383720704573,1,0.15375277655828085,1,0.2474747474747475,0,0.38337206840515137,0,26,4
5,2.5,0.3,0.1316428451686764,4,1.88141910209902,4,0.15299847810417225,2,0.25555555555555554,0,0.3013589382171631,0,21,0
5,2.5,0.5,0.1347470897047455,4,1.8995336105962082,4,0.15319047163292568,2,0.25555555555555554,0,0.3650796413421631,0,27,0
5,2.5,0.7,0.13801691149548928,1,1.9120047083699838,1,0.15201073506971421,1,0.25555555555555554,2,0.42047905921936035,0,30,0
5,3.5,0.3,0.1309472647910566,4,1.8492011530219614,4,0.15302760471874227,4,0.25656565656565655,2,0.29167866706848145,2,19,2
5,3.5,0.5,0.132981212477505,4,1.899600510279082,4,0.15182125322107443,4,0.25555555555555554,0,0.3815023899078369,2,24,2
5,3.5,0.7,0.13298244388193634,4,1.9007192416793448,4,0.15185398765802513,4,0.2585858585858586,3,0.42978787422180176,3,28,3
6,1.5,0.3,0.15997531415341137,3,1.8932751881313845,0,0.14856323330341667,1,0.26565656565656565,3,0.3621864318847656,0,21,4
6,1.5,0.5,0.15955979959725622,3,1.8879207941564211,0,0.14846163111214963,3,0.26565656565656565,3,0.3888430595397949,2,25,2
6,1.5,0.7,0.15200322696356158,1,1.862960158183717,1,0.14909841767297757,3,0.26464646464646463,1,0.4303436279296875,2,29,2
6,2.5,0.3,0.16134893675627335,3,1.8486376812389633,1,0.1481927369335192,3,0.2717171717171717,4,0.26596856117248535,3,21,3
6,2.5,0.5,0.1490591778756083,1,1.8449620012220513,1,0.14742059810759003,2,0.26464646464646463,1,0.565274715423584,1,31,1
6,2.5,0.7,0.14013200199741896,1,1.8845927084578207,0,0.14787451011448277,4,0.25757575757575757,0,0.5251662731170654,2,33,2
6,3.5,0.3,0.14518437728360023,2,1.8786666153653202,2,0.1494527260451704,4,0.25757575757575757,1,0.3337283134460449,1,22,1
6,3.5,0.5,0.1443994277090916,1,1.8722065718082785,1,0.14894320672290032,2,0.26666666666666666,0,0.48536109924316406,1,30,1
