k,m,xi,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Time (s),Iterations
2,1.5,0.3,0.0156053320215043,1.9575434789728576,0.1759824992875399,0.2928917407989502,31
2,1.5,0.5,0.0148997036779579,1.8893013609318527,0.1812297086909571,0.3567690849304199,43
2,1.5,0.7,0.0148997036779579,1.8893013609318527,0.1812297086909571,0.3473641872406006,42
2,2.0,0.3,0.0148997036779579,1.8893013609318527,0.1812297086909571,0.3109822273254394,36
2,2.0,0.5,0.0148997036779579,1.8893013609318527,0.1812297086909571,0.2736918926239013,33
2,2.0,0.7,0.0148997036779579,1.8893013609318527,0.1812297086909571,0.3069257736206054,32
2,2.5,0.3,0.0148997036779579,1.8893013609318527,0.1812297086909571,0.2878115177154541,31
2,2.5,0.5,0.0150419905262052,1.8803931363432096,0.1821611066155735,0.2537686824798584,32
2,2.5,0.7,0.0150522801053502,1.870102832091204,0.1829114106423846,0.2976059913635254,33
3,1.5,0.3,0.0751175744233924,2.075994215895774,0.1541126188897416,0.1826045513153076,21
3,1.5,0.5,0.0757252001877353,2.079354371811872,0.1543636704743431,0.1777663230895996,19
3,1.5,0.7,0.0731390412971033,2.0578781132514217,0.1542147077086685,0.4107844829559326,43
3,2.0,0.3,0.0725929604551138,2.056998428901695,0.1543039518186148,0.2194530963897705,25
3,2.0,0.5,0.0725929604551138,2.056998428901695,0.1543039518186148,0.199927806854248,24
3,2.0,0.7,0.0729376130602375,2.0547767025332657,0.1544319419003516,0.2433438301086425,29
3,2.5,0.3,0.0725929604551138,2.056998428901695,0.1543039518186148,0.175281286239624,21
3,2.5,0.5,0.0729376130602375,2.0547767025332657,0.1544319419003516,0.1863684654235839,23
3,2.5,0.7,0.0774511558987738,2.0362305711419446,0.155165957996362,0.2967317104339599,37
4,1.5,0.3,0.0926017057652385,1.8066732106590704,0.1716009146375,0.1836950778961181,19
4,1.5,0.5,0.0910777669482041,1.8085932663718691,0.1715272608827631,0.261777400970459,31
4,1.5,0.7,0.0913601341079751,1.8081181176276515,0.1715337105574717,0.3074235916137695,28
4,2.0,0.3,0.0928680253864608,1.807037387934589,0.1716144472048312,0.1846954822540283,19
4,2.0,0.5,0.093071959782586,1.809477186194308,0.1712904234008396,0.2781589031219482,31
4,2.0,0.7,0.0950489189762497,1.8102995968410076,0.1707617025181503,0.3081274032592773,35
4,2.5,0.3,0.0922335134923579,1.805147698874944,0.1715658596508771,0.1635499000549316,19
4,2.5,0.5,0.0963300962403491,1.8101815776296988,0.170975269494402,0.2690739631652832,32
4,2.5,0.7,0.0961994807565933,1.8094323338026217,0.1709184807222491,0.3037118911743164,33
5,1.5,0.3,0.10683120669502,1.9129508485867484,0.1491117792456791,0.1639242172241211,19
5,1.5,0.5,0.1065579468667638,1.915533962093689,0.1490499185306473,0.219430923461914,24
5,1.5,0.7,0.1108126120039546,1.9217198301024572,0.1487595989880136,0.2302169799804687,26
5,2.0,0.3,0.1108540075909173,1.8994733787320224,0.1495692440734268,0.204369306564331,23
5,2.0,0.5,0.114602215814527,1.9084939196967012,0.1498365962586619,0.2734816074371338,27
5,2.0,0.7,0.1140658592392516,1.921739901569424,0.1494691737371757,0.2689633369445801,30
5,2.5,0.3,0.1228329072863555,1.916654818943017,0.150606507587228,0.3144915103912353,38
5,2.5,0.5,0.115511435696081,1.9072102678971172,0.150470424980908,0.2966988086700439,28
5,2.5,0.7,0.118629820285434,1.9146392899674665,0.1500676947802853,0.3426589965820312,33
6,1.5,0.3,0.1227409925632172,1.8261431407693915,0.152999377897431,0.1539359092712402,16
6,1.5,0.5,0.1218482842671554,1.8127644301744037,0.1537411376984735,0.1974267959594726,17
6,1.5,0.7,0.1241305588440227,1.783411294337693,0.153372955412292,0.2760443687438965,24
6,2.0,0.3,0.124474157983839,1.8288664048905243,0.1526491240526744,0.3236236572265625,23
6,2.0,0.5,0.1253048965299092,1.8512628879426447,0.1507490632455736,0.2751059532165527,23
6,2.0,0.7,0.1264284493238374,1.864086660247852,0.1506441051757351,0.2774388790130615,24
6,2.5,0.3,0.1321973648015299,1.9209397106591064,0.1454933644154334,0.2491495609283447,26
6,2.5,0.5,0.1311565064372116,1.9195717899092275,0.146348281943521,0.3315935134887695,30
6,2.5,0.7,0.1276773644145978,1.920592536389311,0.1448170695028467,0.5595006942749023,56
7,1.5,0.3,0.1377777875529317,1.8821494555139375,0.142246499702527,0.4037683010101318,41
7,1.5,0.5,0.1360603784395358,1.8642037722168572,0.1455661379126063,0.3753962516784668,37
7,1.5,0.7,0.1371602042115016,1.866136712601678,0.1458206629451885,0.3988986015319824,37
7,2.0,0.3,0.133304720501121,1.859371153371878,0.1468452767513331,0.4128439426422119,44
7,2.0,0.5,0.1392107467666935,1.8791496167641364,0.1436829614702439,0.4076371192932129,43
7,2.0,0.7,0.1394960274296418,1.8852525387914207,0.1438016942706837,0.4886515140533447,50
7,2.5,0.3,0.1368556458370509,1.937556570090653,0.1420769096916864,0.2360413074493408,25
7,2.5,0.5,0.1315978659592206,1.9798446073028064,0.1453503295418662,0.2609295845031738,28
7,2.5,0.7,0.1400826043726513,1.84377965409638,0.1519816936314177,0.5270090103149414,60
8,1.5,0.3,0.1369436084780798,1.8707286567491632,0.1525427599585471,0.3216745853424072,35
8,1.5,0.5,0.1375185221457996,1.8659584541237095,0.1528453312837994,0.3392133712768554,36
