k,distance,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Purity Score,Time (s),Iterations,Error
2,manhattan,0.024342043414546048,7.7531397652720555,0.017001797423825477,0.5502328675981369,1.1905613660812377,16.6,
2,cosine,0.16029056347507803,7.822202923791892,0.01580677465156022,0.5675648702594811,1.336284613609314,17.5,
2,euclidean,0.18985521338480282,7.812956663556562,0.015530922816198545,0.5807717897538257,1.4607182741165161,19.3,
3,manhattan,0.12343842837565855,7.3274043548171,0.014081656106314316,0.6005322687957418,2.2246145963668824,23.5,
3,cosine,0.3516174371271462,6.988508399001492,0.012946143444549692,0.7295076513639388,2.864291954040527,30.1,
3,euclidean,0.4238007031425103,6.966156057897107,0.012470230235215743,0.7691949434464405,2.979537916183472,31.1,
4,euclidean,0.41750437095267373,6.9695175399070335,0.011682878769842673,0.8400864936793081,3.1490367650985718,26.3,
4,cosine,0.383724436869282,6.975585865385911,0.012047098183316104,0.8215901530272788,3.849575424194336,31.9,
5,euclidean,0.35908513899204314,7.3716919728312025,0.011082582006144422,0.8627079174983366,3.9183245420455934,27.5,
4,manhattan,0.16724924062542598,7.245680448241541,0.013552908577775724,0.6756154357950765,4.233904790878296,34.8,
5,manhattan,0.19014507233385375,7.298003863333155,0.013368240053336375,0.7388888888888888,4.529835987091064,29.1,
5,cosine,0.34502438591339385,7.349567771254245,0.011496726847988133,0.8545575515635395,4.605682301521301,30.7,
6,cosine,0.293418941165708,7.441038268879143,0.009797652716081679,0.8430139720558882,4.086787223815918,25.9,
6,euclidean,0.3121709452569594,7.396270283998659,0.009272259444772456,0.8591151031270792,5.508466148376465,32.8,
6,manhattan,0.17768873647837619,7.391655233057672,0.012807780520730788,0.7534264803725881,5.618163013458252,32.6,
7,euclidean,0.2788012498719934,7.443348996642291,0.008896235352734844,0.8725881570192948,6.336220169067383,31.9,
7,manhattan,0.16047339836397492,7.342534944575003,0.012297053090894336,0.745542248835662,5.791697454452515,29.2,
8,euclidean,0.24963787167237922,7.4667305907496155,0.00805214924417524,0.8710911510312707,6.804946613311768,29.3,
7,cosine,0.26224537264448644,7.419229013225321,0.00938135211278773,0.8591483699268132,7.288479924201965,38.1,
8,cosine,0.23399694589843573,7.438297254320631,0.00858920747726006,0.8574184963406521,7.39200234413147,32.9,
8,manhattan,0.15397124190935066,7.321800529307573,0.011804092139030933,0.7575848303393213,7.423466444015503,30.8,
9,euclidean,0.22651577062321734,7.4463213343266546,0.007821717720508794,0.8728542914171655,7.94814703464508,29.1,
9,cosine,0.21290750887932758,7.432920050256793,0.00827724194689058,0.8589487691284099,7.751062798500061,29.3,
9,manhattan,0.14241489882207234,7.119686594328298,0.011745624781824672,0.7615435795076513,8.402525901794434,29.2,
10,euclidean,0.20409687713524508,7.3374190744970065,0.007423750303113104,0.8692282102461742,8.884665250778198,28.7,
10,manhattan,0.13209272375597703,7.089207511505267,0.011248070401805612,0.7584830339321357,8.799637651443481,26.4,
10,cosine,0.19274911669252023,7.324458838498233,0.00793434102242583,0.8589155023286759,8.801679992675782,28.9,
11,euclidean,0.18931972769091798,7.3425454596919835,0.0075493115379308,0.8802395209580839,11.751126337051392,33.3,
11,manhattan,0.14352689030184357,7.02601360253463,0.0112836975492713,0.7876247504990019,11.480870175361634,32.3,
11,cosine,0.1809329359282561,7.354000367130712,0.007964722111904281,0.8723885562208917,10.360304164886475,31.5,
12,euclidean,0.1744348839942682,7.25145814034102,0.00725285175036086,0.8759813705921491,11.600293469429015,30.6,
12,manhattan,0.14036631732730445,6.949206020772256,0.011141879148434232,0.7937125748502994,10.587713170051575,28.0,
13,manhattan,0.12033498580512672,6.975939416148975,0.010732818116145617,0.7813373253493013,9.824344801902772,24.6,
12,cosine,0.16512601668432894,7.266877885300789,0.007804946189565792,0.8664670658682635,11.129038691520691,32.5,
13,euclidean,0.1595928751701835,7.2155938165876545,0.007083628423005951,0.8797737857618098,11.707191228866577,31.8,
13,cosine,0.15129461719542064,7.218249092211468,0.007575730585459328,0.8673652694610778,10.55367615222931,32.5,
14,cosine,0.1395533868750219,7.173556153884287,0.007356256940521636,0.861144377910845,8.217694735527038,27.4,
14,euclidean,0.14705268577404407,7.15592415462316,0.006778411091694867,0.8731869594145044,9.928681874275208,29.9,
14,manhattan,0.11230350214937926,6.860618643535628,0.010675149722004344,0.7832002661343979,9.500068974494933,29.2,
15,cosine,0.12919527544396608,7.0827824658811,0.007332847589508916,0.8511310711909514,5.673731327056885,28.6,
15,euclidean,0.1360724855153574,7.1036030270875825,0.006841200733691077,0.8635395874916834,6.832992815971375,29.4,
15,manhattan,0.11165803747131746,6.746087038823885,0.010741850999820387,0.7914171656686626,6.646476125717163,28.9,
2,manhattan,0.024342043414546048,7.7531397652720555,0.017001797423825477,0.5502328675981369,1.3382139682769776,16.6,
2,cosine,0.16029056347507803,7.822202923791892,0.01580677465156022,0.5675648702594811,1.3541138410568236,17.5,
2,euclidean,0.18985521338480282,7.812956663556562,0.015530922816198545,0.5807717897538257,1.549745297431946,19.3,
3,manhattan,0.12343842837565855,7.3274043548171,0.014081656106314316,0.6005322687957418,2.451172971725464,23.5,
3,euclidean,0.4433254775280184,6.952149994605939,0.012370160700903026,0.7792415169660679,2.8996968984603884,29.0,
3,cosine,0.3516174371271462,6.988508399001492,0.012946143444549692,0.7295076513639388,3.1787466049194335,30.1,
4,euclidean,0.41750437095267373,6.9695175399070335,0.011682878769842673,0.8400864936793081,3.4083199501037598,26.3,
5,euclidean,0.35908513899204314,7.3716919728312025,0.011082582006144422,0.8627079174983366,4.789396119117737,27.5,
4,manhattan,0.16724924062542598,7.245680448241541,0.013552908577775724,0.6756154357950765,4.967795515060425,34.8,
5,manhattan,0.19014507233385375,7.298003863333155,0.013368240053336375,0.7388888888888888,5.206285834312439,29.1,
4,cosine,0.3894477836182784,6.9783062794837365,0.012100365999953917,0.8260146373918829,5.217806243896485,34.6,
5,cosine,0.34502438591339385,7.349567771254245,0.011496726847988133,0.8545575515635395,5.430181217193604,30.7,
6,cosine,0.293418941165708,7.441038268879143,0.009797652716081679,0.8430139720558882,4.930425024032592,25.9,
6,euclidean,0.3121709452569594,7.396270283998659,0.009272259444772456,0.8591151031270792,6.32382824420929,32.8,
6,manhattan,0.18462037569744513,7.402502142786257,0.012966112186531703,0.7632069194943446,6.777848434448242,34.9,
7,euclidean,0.27568149143705023,7.466702375886422,0.008670150666738116,0.8658682634730539,6.664245057106018,30.1,
7,manhattan,0.16047339836397492,7.342534944575003,0.012297053090894336,0.745542248835662,6.538245272636414,29.2,
8,euclidean,0.24963787167237922,7.4667305907496155,0.00805214924417524,0.8710911510312707,6.99596586227417,29.3,
7,cosine,0.26224537264448644,7.419229013225321,0.00938135211278773,0.8591483699268132,7.435881042480469,38.1,
8,manhattan,0.15669543639284583,7.286114461294558,0.011909767140301838,0.7593147039254824,6.986900162696839,30.1,
8,cosine,0.23399694589843573,7.438297254320631,0.00858920747726006,0.8574184963406521,6.7839332818984985,32.9,
9,cosine,0.21290750887932758,7.432920050256793,0.00827724194689058,0.8589487691284099,6.412490105628967,29.3,
9,manhattan,0.14196642706340853,7.1258557262285604,0.011744342427805542,0.7617099135063207,7.399099278450012,30.3,
9,euclidean,0.22601940097835152,7.4120003136031,0.008104888781860808,0.870059880239521,7.362708830833435,29.9,
10,euclidean,0.20409687713524508,7.3374190744970065,0.007423750303113104,0.8692282102461742,7.593153119087219,28.7,
10,manhattan,0.13209272375597703,7.089207511505267,0.011248070401805612,0.7584830339321357,6.9767194271087645,26.4,
10,cosine,0.19274911669252023,7.324458838498233,0.00793434102242583,0.8589155023286759,6.760477995872497,28.9,
11,euclidean,0.18931972769091798,7.3425454596919835,0.0075493115379308,0.8802395209580839,8.990005207061767,33.3,
11,cosine,0.1809329359282561,7.354000367130712,0.007964722111904281,0.8723885562208917,7.848084926605225,31.5,
11,manhattan,0.14352689030184357,7.02601360253463,0.0112836975492713,0.7876247504990019,9.178084373474121,32.3,
12,euclidean,0.1744348839942682,7.25145814034102,0.00725285175036086,0.8759813705921491,9.251492834091186,30.6,
12,manhattan,0.14036631732730445,6.949206020772256,0.011141879148434232,0.7937125748502994,8.723441338539123,28.0,
12,cosine,0.16512601668432894,7.266877885300789,0.007804946189565792,0.8664670658682635,8.75054361820221,32.5,
13,manhattan,0.12033498580512672,6.975939416148975,0.010732818116145617,0.7813373253493013,8.165963673591614,24.6,
13,cosine,0.15129461719542064,7.218249092211468,0.007575730585459328,0.8673652694610778,8.999401831626892,32.5,
13,euclidean,0.1595928751701835,7.2155938165876545,0.007083628423005951,0.8797737857618098,9.891413450241089,31.8,
14,cosine,0.1395533868750219,7.173556153884287,0.007356256940521636,0.861144377910845,6.877883958816528,27.4,
14,euclidean,0.14705268577404407,7.15592415462316,0.006778411091694867,0.8731869594145044,8.688584852218629,29.9,
14,manhattan,0.11230350214937926,6.860618643535628,0.010675149722004344,0.7832002661343979,8.558495259284973,29.2,
15,cosine,0.12919527544396608,7.0827824658811,0.007332847589508916,0.8511310711909514,5.080813264846801,28.6,
15,euclidean,0.1360724855153574,7.1036030270875825,0.006841200733691077,0.8635395874916834,6.621675586700439,29.4,
15,manhattan,0.11165803747131746,6.746087038823885,0.010741850999820387,0.7914171656686626,6.596777534484863,28.9,
