k,m,xi,Adjusted Rand Index,Adjusted Rand Index Seed,Davies-Bouldin Index,Davies-Bouldin Index Seed,Silhouette Score,Silhouette Score Seed,Purity Score,Purity Score Seed,Time (s),Time (s) Seed,Iterations,Iterations Seed,dataset
2,1.5,0.3,0.2021977989501672,0,1.1871274327190249,3,0.3469911957060175,3,0.4247086247086247,0,1.6933255195617676,4,12,3,satimage
2,2.5,0.3,0.1995849646754424,0,1.182267903480121,3,0.3468601193128592,3,0.4239316239316239,0,1.3768150806427002,4,14,3,satimage
2,1.5,0.7,0.1997409891424882,0,1.185348022447493,3,0.3470217986460727,3,0.4240870240870241,0,1.885732650756836,3,12,3,satimage
2,1.5,0.5,0.2010576855144344,2,1.185771815652921,3,0.3469896045290802,3,0.4245532245532245,2,1.6182363033294678,3,10,3,satimage
2,2.5,0.5,0.1956371265546741,0,1.1811132936894966,3,0.3469822789663804,3,0.4233100233100233,0,1.909447193145752,3,12,3,satimage
2,3.5,0.3,0.1983979343040964,0,1.1806885389192987,3,0.3468401229539628,3,0.4237762237762237,0,1.7583072185516355,3,12,3,satimage
2,3.5,0.5,0.1952114249500939,3,1.1795514460653287,3,0.3468991381213971,3,0.4226884226884227,0,2.0600175857543945,3,12,3,satimage
2,2.5,0.7,0.195457904702441,0,1.1801073792525072,0,0.3470090921668162,0,0.4191142191142191,0,2.119558334350586,3,13,3,satimage
3,1.5,0.3,0.293621494510155,1,0.8118163720158833,1,0.4373241913867239,1,0.517016317016317,0,1.9989731311798096,4,13,4,satimage
3,1.5,0.5,0.293621494510155,0,0.8118163720158833,0,0.4373241913867239,0,0.517016317016317,0,2.1173906326293945,0,13,0,satimage
2,3.5,0.7,0.1964659664175551,3,1.1786951111509398,0,0.3469255971859514,3,0.42004662004662,0,2.198497772216797,3,13,3,satimage
3,1.5,0.7,0.293621494510155,0,0.8118163720158833,0,0.4373241913867239,0,0.517016317016317,0,2.4390573501586914,3,13,0,satimage
3,2.5,0.3,0.2933606631932373,0,0.811523838058343,3,0.4373324240091965,0,0.5168609168609168,0,2.320243120193481,4,13,4,satimage
3,2.5,0.5,0.2930711625946011,2,0.8113057922269274,0,0.4373235555094518,2,0.5165501165501165,2,2.2705013751983643,4,12,4,satimage
3,2.5,0.7,0.2928179420721795,0,0.81123125880865,0,0.4373121102804349,0,0.5163947163947163,0,1.7254979610443115,2,14,4,satimage
3,3.5,0.3,0.2925838804181866,0,0.8112978478985348,1,0.4373094164247992,0,0.5163947163947163,0,1.6473004817962646,1,15,4,satimage
3,3.5,0.5,0.2925540840634314,0,0.8110833613619777,0,0.4372916518303917,0,0.5162393162393163,0,1.4365026950836182,0,14,4,satimage
3,3.5,0.7,0.2926519609738389,3,0.8109713436072358,3,0.4372760375372578,0,0.5162393162393163,0,2.625731468200684,4,15,4,satimage
4,1.5,0.3,0.4591687248955322,2,0.9652148875216428,2,0.3954065609970235,2,0.6901320901320901,2,2.7247562408447266,4,17,2,satimage
4,1.5,0.5,0.4591687248955322,2,0.9652148875216428,2,0.3954065609970235,2,0.6901320901320901,2,2.6168923377990723,2,17,2,satimage
4,1.5,0.7,0.4591687248955322,2,0.9652148875216428,2,0.3954065609970235,2,0.6901320901320901,2,1.7686607837677002,2,18,2,satimage
4,2.5,0.3,0.3479281444602839,1,1.1329857480664909,4,0.3234791316184202,0,0.5721833721833722,1,4.93505334854126,4,25,3,satimage
4,2.5,0.5,0.4574561085937058,2,0.9638138372203628,2,0.3954193680169972,2,0.6893550893550894,2,3.918689012527466,2,18,2,satimage
4,3.5,0.3,0.4582755871004033,2,0.9642642200175422,2,0.3953894854249404,2,0.6898212898212899,2,2.876203775405884,1,17,1,satimage
4,2.5,0.7,0.4576821230860615,2,0.9629158311369408,2,0.3954333713015693,2,0.6895104895104895,2,3.3562049865722656,2,18,2,satimage
4,3.5,0.5,0.4583212887466136,2,0.9633326305632371,1,0.3954384480527046,1,0.6898212898212899,2,3.7441036701202393,1,22,1,satimage
4,3.5,0.7,0.4579072565902034,1,0.9619726828547088,0,0.3955258735147618,0,0.6896658896658897,0,4.089122295379639,1,23,1,satimage
5,1.5,0.3,0.4615775912657331,2,1.0960550162335063,1,0.3313483841647213,2,0.6707070707070707,0,3.5667970180511475,0,21,0,satimage
5,1.5,0.5,0.461426923558109,2,1.0960608536512766,1,0.3313837834044222,0,0.6708624708624709,0,4.312854051589966,2,27,0,satimage
5,1.5,0.7,0.4601646155595235,4,1.0961801289212123,1,0.3313217946790479,4,0.6711732711732712,4,5.762807846069336,3,34,0,satimage
5,2.5,0.5,0.4544449726458062,2,1.0848875863486604,0,0.3307146943831625,0,0.6728826728826729,0,5.661148548126221,0,32,0,satimage
5,2.5,0.3,0.4563863221374855,2,1.0930505844296772,2,0.3303466808894821,2,0.6708624708624709,0,5.850520372390747,2,37,2,satimage
5,2.5,0.7,0.4534738999024935,0,1.083877206497995,2,0.3298646444738998,0,0.6741258741258741,0,5.757369518280029,4,36,0,satimage
5,3.5,0.3,0.4525089881365696,0,1.087188075527736,0,0.3300864477607214,0,0.6696192696192697,0,7.453716039657593,4,44,4,satimage
5,3.5,0.7,0.4461404094193548,0,1.0745504166014563,0,0.3296261712287109,0,0.6707070707070707,0,4.84735918045044,4,33,0,satimage
6,1.5,0.3,0.5296555411107088,0,1.0231947941638226,0,0.352264860589181,0,0.7412587412587412,0,3.855381727218628,0,22,0,satimage
5,3.5,0.5,0.4495654907768245,0,1.081674538507853,0,0.3297199762544527,0,0.6717948717948717,0,5.193154811859131,0,38,0,satimage
6,1.5,0.5,0.5295229578586402,0,1.023302962466709,0,0.3522675361033296,2,0.7423465423465423,1,3.0857362747192383,0,19,0,satimage
6,2.5,0.3,0.5296963801590079,0,1.0231726831360817,1,0.3521807727438025,1,0.7412587412587412,0,3.238877296447754,1,19,1,satimage
6,1.5,0.7,0.529838119944802,0,1.0233221619145365,0,0.3522542016626319,0,0.7417249417249417,1,4.029752016067505,0,22,0,satimage
6,2.5,0.5,0.5280878052328455,0,1.0239947111524448,0,0.351879775423874,0,0.7398601398601399,0,4.078094482421875,1,24,1,satimage
6,2.5,0.7,0.527667135888916,0,1.023952760713205,0,0.3517280310184134,0,0.7395493395493395,0,3.372841119766236,0,27,0,satimage
6,3.5,0.3,0.5283596345917704,0,1.0233585082485577,2,0.3520328288593609,2,0.7407925407925408,0,4.608477592468262,2,26,2,satimage
6,3.5,0.5,0.5262071454654996,2,1.0219792738511622,1,0.3517141931245128,3,0.7397047397047397,2,4.998759031295776,2,35,2,satimage
6,3.5,0.7,0.522808652369028,0,1.0198858325088225,1,0.3513683961593828,1,0.7384615384615385,1,5.68896222114563,1,36,2,satimage
7,1.5,0.3,0.5652307687050184,0,1.07042947175683,0,0.336810124217596,4,0.799067599067599,0,3.944054126739502,2,22,2,satimage
7,1.5,0.5,0.5652307687050184,0,1.07042947175683,0,0.3367957564279655,4,0.799067599067599,0,3.77897572517395,2,22,2,satimage
7,2.5,0.5,0.5617353077110988,2,1.069286032697164,1,0.3326470930386018,1,0.7982905982905983,0,4.857460975646973,3,32,1,satimage
