Dataset,N Neighbors,Affinity,Eigen Solver,Assign Labels,N Clusters,Seed,ARI,DBI,Silhouette,Purity,Time (s)
satimage,1,rbf,amg,kmeans,2,0,0.0800496044446685,0.7352862323158783,0.4930660128723531,0.3297591297591297,379.338395357132
satimage,1,rbf,amg,kmeans,2,1,0.0800496044446685,0.7352862323158783,0.4930660128723531,0.3297591297591297,383.34836292266846
satimage,1,rbf,amg,kmeans,2,2,0.0800496044446685,0.7352862323158783,0.4930660128723531,0.3297591297591297,446.7169942855835
satimage,1,rbf,amg,kmeans,2,3,0.0800496044446685,0.7352862323158783,0.4930660128723531,0.3297591297591297,403.1035706996918
satimage,1,rbf,amg,kmeans,2,4,0.0800496044446685,0.7352862323158783,0.4930660128723531,0.3297591297591297,393.7910249233246
satimage,1,rbf,amg,kmeans,3,0,0.346316812051768,1.4942039505799076,0.2168600566610298,0.560994560994561,287.5748574733734
satimage,1,rbf,amg,kmeans,3,1,0.346316812051768,1.4942039505799076,0.2168600566610298,0.560994560994561,291.73878502845764
satimage,1,rbf,amg,kmeans,3,2,0.3461918772949462,1.494661572818184,0.2166653147353966,0.560994560994561,291.7421498298645
satimage,1,rbf,amg,kmeans,3,3,0.346316812051768,1.4942039505799076,0.2168600566610298,0.560994560994561,301.17137479782104
satimage,1,rbf,amg,kmeans,3,4,0.3461918772949462,1.494661572818184,0.2166653147353966,0.560994560994561,298.46772170066833
satimage,1,rbf,amg,kmeans,4,0,0.3465774492197046,1.292318310337857,0.1827068029671834,0.5613053613053613,414.9926023483277
satimage,1,rbf,amg,kmeans,4,1,0.3465774492197046,1.292318310337857,0.1827068029671834,0.5613053613053613,461.1897711753845
satimage,1,rbf,amg,kmeans,4,2,0.3464525279485272,1.292727102471455,0.1825206895017513,0.5613053613053613,449.98225927352905
satimage,1,rbf,amg,kmeans,4,3,0.3464525279485272,1.292727102471455,0.1825206895017513,0.5613053613053613,403.947585105896
satimage,1,rbf,amg,kmeans,4,4,0.3464525279485272,1.292727102471455,0.1825206895017513,0.5613053613053613,441.3132600784302
satimage,1,rbf,amg,kmeans,5,0,0.0859386425498705,1.299915462983487,0.1942379991548978,0.3359751359751359,365.74743151664734
satimage,1,rbf,amg,kmeans,5,1,0.0859386425498705,1.299915462983487,0.1942379991548978,0.3359751359751359,361.659414768219
satimage,1,rbf,amg,kmeans,5,2,0.0859386425498705,1.299915462983487,0.1942379991548978,0.3359751359751359,338.0773720741272
satimage,1,rbf,amg,kmeans,5,3,0.0859386425498705,1.299915462983487,0.1942379991548978,0.3359751359751359,318.26492047309875
