Dataset,k_max,Best ARI,Best K ARI,Best ARI Seed,Best Silhouette,Best K Silhouette,Best Silhouette Seed,Best Purity,Best K Purity,Best Purity Seed,Best DBI,Best K DBI,Best DBI Seed
satimage,4,0.4351839958532407,4,2,0.3934057752089315,4,2,0.8253302253302254,4,2,1.1757865163280907,4,1
satimage,8,0.5574881057363904,8,1,0.3095174297584818,8,1,0.6621600621600622,8,0,1.328199101377431,8,4
satimage,16,0.3590983871921241,16,1,0.1965155585002806,16,0,0.4012432012432012,16,0,1.660984350222057,16,2
satimage,32,0.2386696773143602,32,2,0.1410051386481728,32,0,0.2874902874902875,32,2,1.837435562434381,32,0
satimage,64,0.1533945466036552,64,3,0.1158343721301411,64,4,0.2052836052836052,64,3,1.903798862082396,64,2
satimage,128,0.0942744327883548,128,2,0.0938665004894563,128,4,0.1446775446775446,128,4,1.9169653261164143,128,3
satimage,256,0.0518296332259273,256,2,0.0766575787631256,256,4,0.0806526806526806,256,2,1.915663135228571,256,0
satimage,512,0.0358902975803302,461,4,0.0685708196421451,461,4,0.0612276612276612,461,4,1.680970628775046,412,2
satimage,1024,0.0358902975803302,461,4,0.0685708196421451,461,4,0.0612276612276612,461,4,1.680970628775046,412,2
splice,4,0.3084246250505711,4,2,0.01178728414568,4,0,0.635395874916833,4,2,7.324071604397371,4,4
splice,8,0.2884776302762973,5,3,0.01178728414568,4,0,0.6137724550898204,4,0,7.503830091600939,5,4
splice,16,0.2884776302762973,5,3,0.01178728414568,4,0,0.6137724550898204,4,0,7.503830091600939,5,4
splice,32,0.2884776302762973,5,3,0.01178728414568,4,0,0.6137724550898204,4,0,7.503830091600939,5,4
splice,64,0.2884776302762973,5,3,0.01178728414568,4,0,0.6137724550898204,4,0,7.503830091600939,5,4
splice,128,0.2884776302762973,5,3,0.01178728414568,4,0,0.6137724550898204,4,0,7.503830091600939,5,4
splice,256,0.2884776302762973,5,3,0.01178728414568,4,0,0.6137724550898204,4,0,7.503830091600939,5,4
splice,512,0.2884776302762973,5,3,0.01178728414568,4,0,0.6137724550898204,4,0,7.503830091600939,5,4
splice,1024,0.2884776302762973,5,3,0.01178728414568,4,0,0.6137724550898204,4,0,7.503830091600939,5,4
vowel,4,0.0922992833514457,4,4,0.1387142502971713,4,4,0.5858585858585859,4,3,2.089180253342061,4,1
vowel,8,0.1737534203005219,8,4,0.1435096846353381,8,2,0.4646464646464646,8,4,1.9267292770304687,8,0
vowel,16,0.157336434672258,16,3,0.1524827991870663,16,2,0.3242424242424242,16,1,1.9409981217620107,16,4
vowel,32,0.1466271507310826,32,4,0.1945004014143823,32,0,0.2383838383838384,32,2,1.715280433512811,32,2
vowel,64,0.1294358261066042,64,0,0.2546023772175911,64,4,0.1747474747474747,64,3,1.3717959007338782,64,3
vowel,128,0.0964128764100289,128,4,0.3616665152768769,128,4,0.1272727272727272,128,3,1.053439000337145,128,0
vowel,256,0.0730298935284277,256,3,0.4062794310839297,256,4,0.0949494949494949,256,3,0.7159103975399521,256,2
vowel,512,0.0400008698197572,512,4,0.2659785942507279,512,1,0.0737373737373737,512,3,0.507921117331634,512,3
vowel,1024,0.0365136497401765,586,4,0.198037331496004,586,4,0.0717171717171717,586,4,0.4195209521870031,586,4
